순위,브랜드,모델명,세그먼트,차체유형,파워트레인유형,연료유종,최저가(만원),최고가(만원),정격효율,효율단위,baseEffCoeff,regenBonus,accelPenalty,finalEffCoeff,예상실효율,월주행거리(km),예상월비용(원),효율점수,월비용점수,회생점수,토크응답점수,컴포트점수,고속순항점수,총점,최대출력(hp),출력판정,ACC탑재,회생제동조절
58,현대,투싼 1.6T,준중형,SUV,가솔린터보,휘발유,3060,3927,12.0,km/L,0.842337807606264,0.0,0.0,0.842337807606264,10.108053691275167,360.4484651883339,58838.22798390007,29.48182326621924,16.077451467739998,0.0,11.25,0.0,5.0,61.80927473395924,180,출력 여유 부족 가능,O,X
59,기아,모하비,대형,SUV,디젤,경유,4950,5910,10.0,km/L,0.9180201342281882,0.0,0.0,0.9180201342281882,9.180201342281881,360.4484651883339,60858.70017563746,32.13070469798659,15.94275332162417,0.0,8.25,0.0,5.0,61.323458019610754,260,출력 여유 충분,O,X
60,제네시스,G70 2.0T,준중형,세단,가솔린터보,휘발유,4210,5090,10.5,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.844546979865772,360.4484651883339,67243.68912445722,29.48182326621924,15.517087391702853,0.0,11.25,0.0,5.0,61.248910657922096,252,출력 여유 충분,O,X
61,현대,아반떼 N,준중형,세단,가솔린터보,휘발유,3309,3309,10.2,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.591845637583893,360.4484651883339,69221.44468694125,29.48182326621924,15.385237020870584,0.0,11.25,0.0,5.0,61.11706028708983,280,출력 여유 충분,O,X
62,제네시스,GV70 2.0T,준중형,SUV,가솔린터보,휘발유,5091,6555,10.0,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.42337807606264,360.4484651883339,70605.87358068007,29.48182326621924,15.292941761287995,0.0,11.25,0.0,5.0,61.024765027507236,252,출력 여유 충분,O,X
63,제네시스,G80 2.5T,대형,세단,가솔린터보,휘발유,5524,7028,10.0,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.42337807606264,360.4484651883339,70605.87358068007,29.48182326621924,15.292941761287995,0.0,11.25,0.0,5.0,61.024765027507236,304,출력 여유 충분,O,X
64,현대,싼타페 2.5T,중형,SUV,가솔린터보,휘발유,3900,5000,9.8,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.254910514541388,360.4484651883339,72046.80977620416,29.48182326621924,15.196879348253056,0.0,11.25,0.0,5.0,60.9287026144723,281,출력 여유 충분,O,X
65,기아,쏘렌토 2.5T,중형,SUV,가솔린터보,휘발유,3920,5050,9.7,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.17067673378076,360.4484651883339,72789.56039245368,29.48182326621924,15.147362640503088,0.0,11.25,0.0,5.0,60.87918590672233,281,출력 여유 충분,O,X
66,제네시스,GV70 2.5T,준중형,SUV,가솔린터보,휘발유,5735,7136,9.5,km/L,0.842337807606264,0.0,0.0,0.842337807606264,8.002209172259509,360.4484651883339,74321.97219018955,29.48182326621924,15.045201853987361,0.0,11.25,0.0,5.0,60.7770251202066,304,출력 여유 충분,O,X
67,제네시스,GV80 2.5T,대형,SUV,가솔린터보,휘발유,6563,8685,9.4,km/L,0.842337807606264,0.0,0.0,0.842337807606264,7.9179753914988815,360.4484651883339,75112.6314688086,29.48182326621924,14.99249123541276,0.0,11.25,0.0,5.0,60.724314501632,304,출력 여유 충분,O,X
68,현대,스타리아,대형,MPV,가솔린터보,휘발유,3565,5468,9.3,km/L,0.842337807606264,0.0,0.0,0.842337807606264,7.833741610738255,360.4484651883339,75920.29417277427,29.48182326621924,14.938647055148381,0.0,11.25,0.0,5.0,60.670470321367624,281,출력 여유 충분,O,X
69,제네시스,G90 3.5T,대형,세단,가솔린터보,휘발유,8910,12240,8.9,km/L,0.842337807606264,0.0,0.0,0.842337807606264,7.49680648769575,360.4484651883339,79332.44222548323,29.48182326621924,14.711170518301117,0.0,11.25,0.0,5.0,60.442993784520354,380,출력 여유 충분,O,X
70,제네시스,G70 3.3T,준중형,세단,가솔린터보,휘발유,5080,5700,8.8,km/L,0.842337807606264,0.0,0.0,0.842337807606264,7.412572706935124,360.4484651883339,80233.9472507728,29.48182326621924,14.651070183281814,0.0,11.25,0.0,5.0,60.382893449501054,370,출력 여유 충분,O,X
71,제네시스,GV80 3.5T,대형,SUV,가솔린터보,휘발유,7493,9557,8.5,km/L,0.842337807606264,0.0,0.0,0.842337807606264,7.1598713646532435,360.4484651883339,83065.7336243295,29.48182326621924,14.4622844250447,0.0,11.25,0.0,5.0,60.19410769126394,380,출력 여유 충분,O,X
72,기아,타스만 2.5T,대형,픽업,가솔린터보,휘발유,3740,5190,8.5,km/L,0.842337807606264,0.0,0.0,0.842337807606264,7.1598713646532435,360.4484651883339,83065.7336243295,29.48182326621924,14.4622844250447,0.0,11.25,0.0,5.0,60.19410769126394,281,출력 여유 충분,O,X
73,기아,모닝,경차,해치백,가솔린NA,휘발유,1230,1680,15.7,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,13.128115212527963,360.4484651883339,45302.768747276044,29.266498881431765,16.97981541684826,0.0,4.5,0.0,6.0,56.746314298280026,76,출력 여유 부족 가능,X,X
74,현대,아반떼,준중형,세단,가솔린NA,휘발유,2034,2806,14.6,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,12.208310961968678,360.4484651883339,48715.991050153,29.266498881431765,16.752267263323134,0.0,4.5,0.0,6.0,56.5187661447549,123,출력 여유 부족 가능,O,X
75,현대,코나,소형,SUV,가솔린NA,휘발유,2378,3109,13.6,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,11.372125279642056,360.4484651883339,52298.04921560543,29.266498881431765,16.513463385626306,0.0,4.5,0.0,6.0,56.27996226705807,149,출력 여유 부족 가능,O,X
76,현대,쏘나타,중형,세단,가솔린NA,휘발유,2826,3549,12.8,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,10.70317673378076,360.4484651883339,55566.67729158077,29.266498881431765,16.295554847227947,0.0,4.5,0.0,6.0,56.06205372865971,160,출력 여유 부족 가능,O,X
77,기아,K5 2.0,중형,세단,가솔린NA,휘발유,2724,3469,12.8,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,10.70317673378076,360.4484651883339,55566.67729158077,29.266498881431765,16.295554847227947,0.0,4.5,0.0,6.0,56.06205372865971,160,출력 여유 부족 가능,O,X
78,기아,레이,경차,MPV,가솔린NA,휘발유,1445,1830,12.7,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,10.619558165548096,360.4484651883339,56004.21018364047,29.266498881431765,16.266385987757303,0.0,4.5,0.0,6.0,56.03288486918907,76,출력 여유 부족 가능,X,X
79,현대,투싼,준중형,SUV,가솔린NA,휘발유,2837,3700,12.4,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,10.36870246085011,360.4484651883339,57359.1507525995,29.266498881431765,16.176056616493366,0.0,4.5,0.0,6.0,55.94255549792513,160,출력 여유 부족 가능,O,X
80,현대,그랜저 2.5,대형,세단,가솔린NA,휘발유,3661,4900,11.7,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,9.783372483221475,360.4484651883339,60790.89481472084,29.266498881431765,15.94727367901861,0.0,4.5,0.0,6.0,55.71377256045037,198,출력 여유 부족 가능,O,X
81,기아,K8 2.5,대형,세단,가솔린NA,휘발유,3679,4546,11.5,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,9.61613534675615,360.4484651883339,61848.127768020335,29.266498881431765,15.876791482131978,0.0,4.5,0.0,6.0,55.64329036356374,198,출력 여유 부족 가능,O,X
82,현대,싼타페 2.5,중형,SUV,가솔린NA,휘발유,3570,4620,10.6,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,8.86356823266219,360.4484651883339,67099.38389926734,29.266498881431765,15.526707740048844,0.0,4.5,0.0,6.0,55.29320662148061,194,출력 여유 부족 가능,O,X
83,기아,쏘렌토 2.5,중형,SUV,가솔린NA,휘발유,3580,4650,10.5,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,8.779949664429529,360.4484651883339,67738.42565068895,29.266498881431765,15.484104956620737,0.0,4.5,0.0,6.0,55.2506038380525,194,출력 여유 부족 가능,O,X
84,현대,그랜저 3.5,대형,세단,가솔린NA,휘발유,4409,5308,10.4,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,8.696331096196868,360.4484651883339,68389.75666656093,29.266498881431765,15.440682888895939,0.0,4.5,0.0,6.0,55.20718177032771,272,출력 여유 충분,O,X
85,기아,K8 3.5,대형,세단,가솔린NA,휘발유,3987,4829,10.3,km/L,0.8361856823266218,0.0,0.0,0.8361856823266218,8.612712527964206,360.4484651883339,69053.73488662463,29.266498881431765,15.396417674225024,0.0,4.5,0.0,6.0,55.16291655565679,272,출력 여유 충분,O,X
86,현대,아반떼 LPi,준중형,세단,LPG,LPG,2172,2842,10.8,km/L,0.8077852348993289,0.0,0.0,0.8077852348993289,8.724080536912751,360.4484651883339,43382.32399923289,28.27248322147651,17.107845066717807,0.0,3.75,0.0,6.0,55.13032828819432,112,출력 여유 부족 가능,O,X
87,기아,모닝 LPG,경차,해치백,LPG,LPG,1345,1780,10.5,km/L,0.8077852348993289,0.0,0.0,0.8077852348993289,8.481744966442953,360.4484651883339,44621.81897063954,28.27248322147651,17.025212068624032,0.0,3.75,0.0,6.0,55.04769529010054,62,출력 여유 부족 가능,X,X
