speed_kmh,rpm,engine_load_pct,maf_gps,fuel_rate_lph,distance_km,speed_mps,time_s,dt_s,accel_mps2,distance_step_m,required_load_pct,power_load_deviation_pp,is_analyzable_quasi_cruise,obd_grade_class,equivalent_grade_index_pct
,,,,,0.0,,0.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,1.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,2.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,3.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,4.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,5.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,6.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,7.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,8.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,9.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,10.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,11.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,12.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,13.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,14.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,15.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,16.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,17.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,18.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,19.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,20.0,1.0,0.0,,,,False,non_analyzed,
0.0,899.75,34.803921568627445,7.28,0.7308597285067874,0.0,0.0,21.0,1.0,0.0,0.0,8.0,26.803921568627445,False,non_analyzed,7.658263305322127
0.0,899.75,34.803921568627445,7.28,0.7308597285067874,0.0,0.0,22.0,1.0,0.0,0.0,8.0,26.803921568627445,False,non_analyzed,7.658263305322127
0.0,899.75,34.803921568627445,7.28,0.7308597285067874,0.0,0.0,23.0,1.0,0.0,0.0,8.0,26.803921568627445,False,non_analyzed,7.658263305322127
0.0,899.7142857142857,34.56582633053221,7.2542857142857144,0.7233112475759534,0.0,0.0,24.0,1.0,0.0,0.0,8.0,26.56582633053221,False,non_analyzed,7.590236094437775
0.0,900.0,34.64052287581699,7.233333333333333,0.7227828054298642,0.0,0.0,25.0,1.0,0.0,0.0,8.0,26.64052287581699,False,non_analyzed,7.611577964519141
0.0,900.0,34.646747587924054,7.233015873015873,0.7228808446455505,0.0,0.0,26.0,1.0,0.0,0.0,8.0,26.646747587924054,False,non_analyzed,7.613356453692587
0.0,900.0,34.652972300031124,7.232698412698412,0.7229788838612368,0.0,0.0,27.0,1.0,0.0,0.0,8.0,26.652972300031124,False,non_analyzed,7.615134942866035
0.0,900.0,34.659197012138186,7.232380952380953,0.723076923076923,0.0,0.0,28.0,1.0,0.0,0.0,8.0,26.659197012138186,False,non_analyzed,7.616913432039482
0.0,900.0,34.66542172424525,7.232063492063492,0.7231749622926092,0.0,0.0,29.0,1.0,0.0,0.0,8.0,26.66542172424525,False,non_analyzed,7.618691921212928
0.0,900.0,34.67164643635232,7.231746031746032,0.7232730015082955,0.0,0.0,30.0,1.0,0.0,0.0,8.0,26.67164643635232,False,non_analyzed,7.6204704103863765
0.0,900.0,34.67164643635232,7.231746031746032,0.7232730015082955,0.0,0.0,31.0,1.0,0.0,0.0,8.0,26.67164643635232,False,non_analyzed,7.6204704103863765
0.0,900.0,34.67164643635232,7.231746031746032,0.7232730015082955,0.0,0.0,32.0,1.0,0.0,0.0,8.0,26.67164643635232,False,non_analyzed,7.6204704103863765
,,,,,0.0,,33.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,34.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,35.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,36.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,37.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,38.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,39.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,40.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,41.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,42.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,43.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,44.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,45.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,46.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,47.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,48.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,49.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,50.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,51.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,52.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,53.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,54.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,55.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,56.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,57.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,58.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,59.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,60.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,61.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,62.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,63.0,1.0,0.0,,,,False,non_analyzed,
,,,,,0.0,,64.0,1.0,0.0,,,,False,non_analyzed,
0.0,900.0,34.90196078431372,7.22,0.7269004524886878,0.0,0.0,65.0,1.0,0.0,0.0,8.0,26.901960784313722,False,non_analyzed,7.686274509803921
0.0,900.0,34.90196078431372,7.22,0.7269004524886878,0.0,0.0,66.0,1.0,0.0,0.0,8.0,26.901960784313722,False,non_analyzed,7.686274509803921
0.0,900.0,34.90196078431372,7.22,0.7269004524886878,0.0,0.0,67.0,1.0,0.0,0.0,8.0,26.901960784313722,False,non_analyzed,7.686274509803921
0.0,900.0,34.37908496732026,7.173333333333333,0.7113668929110105,0.0,0.0,68.0,1.0,0.0,0.0,8.0,26.37908496732026,False,non_analyzed,7.53688141923436
0.0,899.8571428571429,34.34173669467787,7.164285714285714,0.7097058823529412,0.0,0.0,69.0,1.0,0.0,0.0,8.0,26.34173669467787,False,non_analyzed,7.526210484193677
